question,generated_sql,expected_sql,generated_result,expected_result,syntax_correct,semantics_correct
Who is the pointguard for the Golden State Warriors?,"SELECT NAME, COLLEGE, HT, WT, AGE, SALARY FROM nba_roster WHERE POS = 'PG'",select name from nba_roster where team='Golden State Warriors' and POS='PG';,"                       NAME          COLLEGE      HT       WT  AGE  \
0               Patty Mills     Saint Mary's   6' 0""  180 lbs   35   
1                Trae Young         Oklahoma   6' 1""  164 lbs   25   
2           Malcolm Brogdon         Virginia   6' 4""  229 lbs   30   
3          Payton Pritchard           Oregon   6' 1""  195 lbs   25   
4             Derrick White         Colorado   6' 4""  190 lbs   29   
5         Spencer Dinwiddie         Colorado   6' 6""  215 lbs   30   
6               Ben Simmons              LSU  6' 10""  240 lbs   27   
7                Lonzo Ball             UCLA   6' 6""  190 lbs   25   
8                Coby White   North Carolina   6' 5""  195 lbs   23   
9            Darius Garland       Vanderbilt   6' 1""  192 lbs   23   
10             Kyrie Irving             Duke   6' 2""  191 lbs   31   
11           Reggie Jackson   Boston College   6' 2""  208 lbs   33   
12             Jamal Murray         Kentucky   6' 4""  215 lbs   26   
13          Cade Cunningham   Oklahoma State   6' 7""  220 lbs   21   
14               Jaden Ivey           Purdue   6' 4""  195 lbs   21   
15             Monte Morris       Iowa State   6' 2""  183 lbs   28   
16            Stephen Curry         Davidson   6' 2""  185 lbs   35   
17              Cory Joseph            Texas   6' 3""  200 lbs   32   
18        Tyrese Haliburton       Iowa State   6' 5""  185 lbs   23   
19           T.J. McConnell          Arizona   6' 1""  190 lbs   31   
20          Andrew Nembhard          Gonzaga   6' 5""  193 lbs   23   
21             Bones Hyland              VCU   6' 2""  169 lbs   23   
22            Jason Preston             Ohio   6' 3""  181 lbs   24   
23        Russell Westbrook             UCLA   6' 3""  200 lbs   34   
24         D'Angelo Russell       Ohio State   6' 4""  193 lbs   27   
25                Ja Morant     Murray State   6' 3""  174 lbs   24   
26              Tyler Herro         Kentucky   6' 5""  195 lbs   23   
27               Kyle Lowry        Villanova   6' 0""  196 lbs   37   
28             Jrue Holiday             UCLA   6' 4""  205 lbs   33   
29              Mike Conley       Ohio State   6' 1""  175 lbs   35   
30        Jordan McLaughlin              USC   6' 0""  185 lbs   27   
31            Jose Alvarado     Georgia Tech   6' 0""  179 lbs   25   
32           Kira Lewis Jr.          Alabama   6' 1""  170 lbs   22   
33            Jalen Brunson        Villanova   6' 1""  190 lbs   27   
34            Miles McBride    West Virginia   6' 2""  195 lbs   23   
35  Shai Gilgeous-Alexander         Kentucky   6' 6""  195 lbs   25   
36                 Tre Mann          Florida   6' 3""  184 lbs   22   
37             Cole Anthony   North Carolina   6' 3""  185 lbs   23   
38           Markelle Fultz       Washington   6' 4""  209 lbs   25   
39         Patrick Beverley         Arkansas   6' 2""  180 lbs   35   
40             Tyrese Maxey         Kentucky   6' 2""  200 lbs   22   
41           Damian Lillard      Weber State   6' 2""  195 lbs   33   
42             De'Aaron Fox         Kentucky   6' 3""  185 lbs   25   
43          Davion Mitchell           Baylor   6' 0""  202 lbs   25   
44          Devonte' Graham           Kansas   6' 1""  195 lbs   28   
45                Tre Jones             Duke   6' 1""  185 lbs   23   
46          Jeff Dowtin Jr.     Rhode Island   6' 3""  177 lbs   26   
47            Malachi Flynn  San Diego State   6' 1""  175 lbs   25   
48          Jordan Clarkson         Missouri   6' 5""  194 lbs   31   
49            Collin Sexton          Alabama   6' 2""  190 lbs   24   
50          Jeff Dowtin Jr.     Rhode Island   6' 3""  177 lbs   26   
51            Malachi Flynn  San Diego State   6' 1""  175 lbs   25   

         SALARY  
0    $6,802,950  
1   $40,064,220  
2   $22,500,000  
3    $4,037,278  
4   $18,357,143  
5   $20,357,143  
6   $37,893,408  
7   $20,465,117  
8   $11,111,111  
9   $34,005,250  
10  $37,037,037  
11   $5,000,000  
12  $33,833,400  
13  $11,055,240  
14   $7,641,480  
15   $9,800,926  
16  $51,915,615  
17   $2,019,706  
18   $5,808,435  
19   $8,700,000  
20   $2,131,905  
21   $2,306,400  
22   $1,836,096  
23   $3,835,738  
24  $17,307,693  
25  $34,005,250  
26  $27,000,000  
27  $29,682,540  
28  $36,861,707  
29  $24,360,000  
30   $2,320,000  
31   $1,836,096  
32   $5,722,116  
33  $26,346,666  
34   $1,836,096  
35  $33,386,850  
36   $3,191,280  
37   $5,539,771  
38  $17,000,000  
39   $2,019,706  
40   $4,343,920  
41  $45,640,084  
42  $32,600,060  
43   $5,063,760  
44  $12,100,000  
45   $9,895,833  
46   $2,109,706  
47   $3,873,025  
48  $23,487,629  
49  $17,325,000  
50   $2,109,706  
51   $3,873,025  ","            NAME
0  Stephen Curry
1    Cory Joseph",True,False
What is the number of players on the Chicago Bulls who are 25 years old or younger,SELECT COUNT(*) FROM nba_roster WHERE AGE < 25 AND TEAM = 'Chicago Bulls';,SELECT COUNT(*) FROM nba_roster WHERE team='Chicago Bulls' AND AGE <= 25;,"   COUNT(*)
0         5","   COUNT(*)
0         7",True,False
Who is the highest-paid player on the Los Angeles Lakers,"SELECT * FROM nba_roster WHERE TEAM = 'Los Angeles Lakers' AND SALARY = '$1,719,864'","SELECT NAME, SALARY FROM nba_roster WHERE team='Los Angeles Lakers' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","                 Team          NAME Jersey POS  AGE     HT       WT  \
0  Los Angeles Lakers  Max Christie     10   G   20  6' 5""  190 lbs   

          COLLEGE      SALARY  
0  Michigan State  $1,719,864  ","            NAME       SALARY
0  Anthony Davis  $40,600,080",True,False
Who is the highest paid player in the NBA?,SELECT * FROM nba_roster WHERE SALARY = (SELECT MAX(SALARY) FROM nba_roster),"SELECT NAME, salary FROM nba_roster WHERE SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","               Team        NAME Jersey POS  AGE     HT       WT   COLLEGE  \
0  Sacramento Kings  Malik Monk      0  SG   25  6' 3""  200 lbs  Kentucky   

       SALARY  
0  $9,945,830  ","            NAME       SALARY
0  Stephen Curry  $51,915,615",True,False
What team is LaMelo Ball on?,,select team from nba_roster where name='LaMelo Ball';,,"Empty DataFrame
Columns: [Team]
Index: []",False,False
How much does Lonzo Ball weigh?,SELECT WT FROM nba_roster WHERE NAME = 'Lonzo Ball';,select wt from nba_roster where name='Lonzo Ball';,"        WT
0  190 lbs","        WT
0  190 lbs",True,True
What college sent the most players to the current NBA?,,select college from nba_roster where college != '--'  group by college order by count(*) desc limit 1;,,"    COLLEGE
0  Kentucky",False,False
How old is Lebron James?,SELECT AGE FROM nba_roster WHERE NAME = 'Lebron James';,select age from nba_roster where name='LeBron James';,"Empty DataFrame
Columns: [AGE]
Index: []","Empty DataFrame
Columns: [AGE]
Index: []",True,True
What is the most popular jersey number in the current NBA?,SELECT jersey FROM nba_roster WHERE jersey = (SELECT MAX(jersey) FROM nba_roster) ORDER BY COUNT(*) DESC LIMIT 1;,select Jersey from nba_roster where Jersey != 'NA' group by Jersey order by count(*) desc limit 1;,,"  Jersey
0      5",False,False
Can you give me a list of all the players without college data?,SELECT * FROM nba_roster WHERE COLLEGE IS NULL;,SELECT name FROM nba_roster WHERE COLLEGE IS NULL OR COLLEGE = '--';,"Empty DataFrame
Columns: [Team, NAME, Jersey, POS, AGE, HT, WT, COLLEGE, SALARY]
Index: []","Empty DataFrame
Columns: [NAME]
Index: []",True,False
